Binaural.Gamma,Binaural.Theta,Monaural.Gamma,Monaural.Theta
-1.7313,-3.7663,4.625,-2.3229
2.6191,1.9874,7.4978,0.86117
-4.2005,-2.2575,-3.519,-2.5506
-24.719,-25.678,-17.631,-23.522
1.6767,-0.3765,9.1346,-1.6451
-0.39843,1.8811,2.6338,-3.7444
0.25031,-0.14799,12.332,-0.66507
2.0661,-1.5421,10.191,-1.8291
-0.10576,-1.7374,10.37,0.52991
0.76447,-1.2904,10.839,-1.4034
-1.2711,-1.578,2.0255,-0.73614
5.3068,0.4936,7.111,0.86455
-1.5934,-1.3566,2.7001,-2.169
3.3203,0.084253,7.1925,0.48557
0.43687,-1.9405,5.8705,0.30155
0.08315,0.70789,11.456,-2.1686
